date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2017-06-29,1808.29,1822.82,1813.55,1807.62,10193238.0,5.35,0.3,1814.078,1814.089,1799.164,9864329.0,10702312.9,10535681.45
2017-06-28,1817.43,1818.11,1808.2,1802.38,9118170.0,-11.73,-0.65,1811.044,1814.36,1794.91,10237053.0,11229168.7,10510347.55
2017-06-27,1821.37,1830.22,1819.93,1816.66,9245741.0,-1.35,-0.07,1814.342,1812.604,1792.687,10972528.4,11293795.8,10593541.0
2017-06-26,1805.88,1821.28,1821.28,1801.21,9830732.0,13.85,0.77,1814.552,1810.174,1789.404,11578400.8,11302057.2,10131420.2
2017-06-23,1794.5,1807.43,1807.43,1776.6,10933764.0,9.05,0.5,1813.576,1805.601,1786.321,11411450.0,11135907.85,10131045.95
2017-06-22,1821.84,1828.8,1798.38,1798.38,12056858.0,-26.31,-1.44,1814.1,1804.471,1784.835,11540296.8,10925413.15,10150706.55
2017-06-21,1827.89,1829.4,1824.69,1810.04,12795547.0,3.71,0.2,1817.676,1804.108,1783.73,12221284.4,10766445.15,10031543.85
2017-06-20,1818.69,1833.94,1820.98,1818.69,12275103.0,4.58,0.25,1810.866,1801.624,1780.407,11615063.2,10786898.25,9925776.95
2017-06-19,1809.51,1817.5,1816.4,1805.88,8995978.0,6.35,0.35,1805.796,1796.165,1778.762,11025713.6,10384498.1,9778575.35
2017-06-16,1816.16,1819.1,1810.05,1809.48,11577998.0,-6.21,-0.34,1797.626,1790.65,1777.996,10860365.7,10487484.4,9762612.15
2017-06-15,1788.81,1823.42,1816.26,1788.43,15461796.0,25.62,1.43,1794.842,1784.238,1778.169,10310529.5,10369050.0,9757850.45
2017-06-14,1794.04,1798.2,1790.64,1787.06,9764441.0,-4.99,-0.28,1790.54,1775.461,1778.488,9311605.9,9791526.4,9705263.2
2017-06-13,1773.01,1800.2,1795.63,1771.85,9328355.0,20.08,1.13,1792.382,1772.77,1779.703,9958733.3,9893286.2,9819505.4
2017-06-12,1787.56,1787.56,1775.55,1773.53,8169238.5,-20.58,-1.15,1786.534,1768.634,1778.853,9743282.6,8960783.2,9768522.3
2017-06-09,1793.65,1797.64,1796.13,1782.18,8828817.0,1.38,0.08,1783.674,1767.042,1778.807,10114603.1,9126184.05,9811337.82
2017-06-08,1798.69,1804.66,1794.75,1792.1,10467178.0,-5.1,-0.28,1773.634,1765.198,1777.621,10427570.5,9375999.95,9950214.88
2017-06-07,1764.96,1802.52,1799.85,1762.73,13000078.0,33.46,1.89,1760.382,1763.351,1776.45,10271446.9,9296642.55,9936247.23
